,station,degree,size,diameter
0,Baker Street,2.2688524590163937,305,260.1091496028033
1,King's Cross St. Pancras,2.2302631578947367,285,278.3624232591404
2,Waterloo,2.198019801980198,284,280.4709027013205
3,Oxford Circus,2.165562913907285,282,282.4600580396277
4,Bank,2.13953488372093,281,283.46525397571185
5,Earl's Court,2.1066666666666665,271,303.2328364617196
6,Green Park,2.080267558528428,270,308.3896721172
7,Paddington,2.053691275167785,253,329.1115077930593
8,Liverpool Street,2.0336700336700337,247,337.10611931839674
9,Turnham Green,2.0067567567567566,232,358.9017735846724
10,Shadwell,1.9864406779661017,230,362.02265857236523
11,Canning Town,1.9591836734693877,217,383.7106519430599
12,Embankment,1.9453924914675769,182,488.3109766711154
13,Picadilly Circus,1.9383561643835616,182,488.3109766711154
14,Mile End,1.9175257731958764,169,525.8733594919704
