,station,degree,size,diameter
0,Baker Street,2.2688524590163937,305,260.1091496028033
1,Earl's Court,2.236842105263158,295,275.9388863248
2,Notting Hill Gate,2.217821782178218,192,241.1584749632084
3,King's Cross St. Pancras,2.1788079470198674,172,276.0321764595291
4,Bank,2.1461794019933556,171,282.2996582925907
5,Embankment,2.1266666666666665,170,306.5781810025236
6,Canada Water,2.1070234113712374,102,625.1609746504998
7,Ealing Common,2.0939597315436242,94,414.743001884383
8,Stratford,2.074074074074074,73,367.2743250834521
9,Green Park,2.0405405405405403,73,367.2743250834521
10,Canning Town,2.013559322033898,60,521.3346021239166
11,Whitechapel,1.9931972789115646,45,869.3511146236223
12,Harrow-on-the-Hill,1.9795221843003412,45,869.3511146236223
13,Paddington,1.952054794520548,40,679.664131217675
14,Camden Town,1.9312714776632303,32,869.9337903517501
